0,20 ,25 ,30 ,35 ,40 ,45 ,50 ,55 ,60 ,65 ,70 ,75 ,80 ,85 ,90 
240 ,11 ,15 ,18 ,22 ,25 ,28 ,30 ,33 ,35 ,36 ,38 ,40 ,42 ,43 ,44 
250 ,12 ,16 ,19 ,23 ,26 ,29 ,31 ,34 ,36 ,38 ,39 ,41 ,43 ,44 ,45 
260 ,14 ,17 ,21 ,24 ,28 ,30 ,33 ,35 ,37 ,39 ,41 ,42 ,44 ,45 ,46 
270 ,15 ,18 ,22 ,26 ,29 ,31 ,34 ,36 ,38 ,40 ,42 ,43 ,45 ,46 ,47 
280 ,16 ,20 ,23 ,27 ,30 ,33 ,35 ,38 ,40 ,40 ,42 ,44 ,46 ,47 ,48 
290 ,17 ,21 ,24 ,28 ,31 ,34 ,36 ,39 ,40 ,42 ,44 ,46 ,47 ,48 ,49 
300 ,18 ,22 ,25 ,29 ,32 ,35 ,37 ,40 ,41 ,43 ,45 ,47 ,48 ,49 ,51 
310 ,19 ,23 ,26 ,30 ,33 ,36 ,38 ,41 ,42 ,44 ,46 ,48 ,50 ,51 ,52 
320 ,20 ,24 ,27 ,31 ,34 ,37 ,39 ,42 ,44 ,45 ,47 ,49 ,51 ,52 ,53 
330 ,21 ,25 ,28 ,32 ,35 ,38 ,40 ,43 ,44 ,46 ,48 ,50 ,52 ,53 ,54 
340 ,23 ,26 ,30 ,33 ,36 ,39 ,41 ,44 ,45 ,47 ,49 ,51 ,53 ,54 ,55 
350 ,24 ,27 ,31 ,34 ,37 ,40 ,42 ,45 ,46 ,48 ,50 ,52 ,53 ,55 ,56 
360 ,24 ,28 ,31 ,35 ,38 ,41 ,43 ,46 ,48 ,48 ,50 ,52 ,54 ,55 ,56 
370 ,26 ,30 ,33 ,36 ,39 ,41 ,44 ,46 ,48 ,50 ,52 ,53 ,55 ,56 ,57 
380 ,27 ,30 ,34 ,37 ,40 ,42 ,45 ,47 ,49 ,51 ,52 ,54 ,56 ,57 ,58 
390 ,28 ,31 ,34 ,37 ,40 ,43 ,45 ,48 ,50 ,52 ,53 ,55 ,57 ,58 ,59 
400 ,27 ,31 ,35 ,38 ,41 ,44 ,46 ,49 ,51 ,51 ,54 ,56 ,58 ,59 ,60 
410 ,30 ,33 ,36 ,39 ,42 ,44 ,47 ,49 ,51 ,53 ,55 ,57 ,59 ,60 ,61 
420 ,31 ,34 ,37 ,40 ,43 ,45 ,48 ,50 ,52 ,54 ,56 ,58 ,60 ,61 ,62 
430 ,31 ,35 ,38 ,41 ,44 ,46 ,49 ,51 ,53 ,55 ,57 ,58 ,60 ,61 ,63 
