,20,25,30,35,40,45,50,55,60
210,3750,3625,3525,3400,3275,3200,3125,3025,2950
220,3600,3500,3375,3250,3125,3050,2975,2900,2800
230,3450,3350,3250,3125,3000,2925,2850,2750,2650
240,3300,3200,3100,2975,2850,2775,2700,2600,2500
250,3175,3075,2975,2850,2750,2650,2575,2475,2400
260,3050,2950,2850,2750,2625,2550,2450,2375,2275
270,2925,2825,2725,2625,2525,2425,2325,2250,2175
280,2800,2700,2600,2500,2400,2300,2200,2125,2050
290,2700,2600,2500,2400,2300,2200,2100,2025,1950
300,2600,2500,2400,2300,2175,2100,2000,1925,1850
310,2500,2400,2300,2175,2075,1975,1900,1825,1750
320,2400,2300,2200,2075,1950,1875,1800,1725,1650
330,2325,2225,2125,2000,1875,1800,1725,1650,1575
340,2250,2150,2025,1950,1775,1700,1625,1550,1475
350,2175,2050,1950,1825,1700,1625,1550,1475,1400
360,2100,2975,1850,1725,1600,1525,1450,1375,1300
370,2025,1900,1775,1650,1525,1450,1375,1300,1225
380,1925,1800,1675,1575,1450,1375,1300,1225,1150
390,1850,1725,1600,1475,1375,1300,1225,1100,975
400,1750,1625,1500,1400,1300,1225,1150,1075,1100
410,1675,1550,1450,1325,1250,1175,1100,1025,950
420,1625,1515,1400,1285,1200,1120,1040,960,875
