0,35,40,45,55,60,65,75
200,7400,7700,7900,8400,8650,8900,9400
210,7800,8000,8275,8800,9050,9300,9800
220,8100,8375,8700,9200,9450,9700,10250
230,8500,8725,9000,9575,9865,10150,10700
240,8800,9075,9350,9900,10200,10500,11100
250,9100,9400,9700,10300,10659,10950,11500
260,9450,9750,10100,10700,11025,11350,11875
270,9750,10100,10400,11050,11375,11700,12400
280,10100,10400,10750,11450,11780,12100,12750
290,10400,10750,11100,11800,12150,12500,13999
300,10750,11150,11450,12200,12550,12900,13999
310,11000,11450,11900,12700,13999,13999,14999
320,11450,11800,12200,13999,13999,14999,16999
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
