0,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13200,13500
15 ,160 ,166 ,173 ,179 ,185 ,190 ,196 ,201 ,205 ,211 ,216 ,218 ,221 
20 ,155 ,160 ,166 ,171 ,177 ,182 ,187 ,192 ,198 ,202 ,207 ,208 ,211 
22 ,152 ,158 ,163 ,169 ,174 ,179 ,184 ,189 ,194 ,199 ,203 ,205 ,208 
24 ,150 ,155 ,161 ,166 ,171 ,176 ,181 ,186 ,191 ,195 ,200 ,202 ,204 
26 ,147 ,153 ,158 ,163 ,168 ,173 ,178 ,183 ,188 ,192 ,197 ,199 ,201 
28 ,145 ,150 ,155 ,160 ,166 ,170 ,175 ,180 ,185 ,189 ,193 ,195 ,197 
30 ,143 ,148 ,153 ,158 ,163 ,167 ,172 ,177 ,181 ,185 ,190 ,192 ,194 
32 ,140 ,145 ,150 ,155 ,160 ,164 ,169 ,174 ,178 ,182 ,186 ,188 ,190 
34 ,138 ,143 ,147 ,152 ,157 ,162 ,166 ,170 ,175 ,179 ,183 ,185 ,187 
36 ,135 ,140 ,145 ,150 ,154 ,159 ,163 ,167 ,172 ,175 ,179 ,181 ,183 
38 ,133 ,138 ,142 ,147 ,151 ,156 ,160 ,164 ,168 ,172 ,176 ,178 ,180 
40 ,131 ,135 ,140 ,144 ,149 ,153 ,157 ,161 ,165 ,169 ,173 ,174 ,176 
42 ,128 ,133 ,137 ,141 ,146 ,150 ,154 ,158 ,162 ,165 ,169 ,171 ,173 
44 ,126 ,130 ,134 ,139 ,143 ,147 ,151 ,155 ,159 ,162 ,166 ,167 ,169 
46 ,123 ,128 ,132 ,136 ,140 ,144 ,148 ,152 ,155 ,159 ,162 ,164 ,166 
48 ,121 ,125 ,129 ,134 ,137 ,141 ,145 ,148 ,152 ,156 ,159 ,160 ,162 
50 ,119 ,122 ,126 ,130 ,134 ,138 ,142 ,145 ,149 ,152 ,156 ,157 ,159 
52 ,116 ,120 ,124 ,128 ,132 ,135 ,139 ,142 ,146 ,149 ,152 ,153 ,155 
54 ,114 ,117 ,121 ,125 ,129 ,132 ,136 ,139 ,142 ,146 ,149 ,150 ,152 
55 ,113 ,116 ,120 ,124 ,127 ,131 ,134 ,137 ,141 ,144 ,147 ,148 ,150 
60 ,107 ,110 ,113 ,117 ,120 ,123 ,126 ,130 ,133 ,136 ,138 ,139 ,141 
